"","ID","Day","Month","Year","Location","Danger_Score","Trigger_Type","Origin","Size","Members","Dragged","Hurt","Dead","Activity","lat","long"
"79",355,"06","04","2012","Vallée du Lys","Unknown","Unknown","Natural",NA,5,2,1,1,"Hiking",42.741929,0.560622
"80",234,"28","02","2012","Petrechema","2","Slab","Unknown",NA,1,1,0,1,"Hiking",42.901912,-0.733785
"81",348,"18","02","2012","Tuc d'Arres","Unknown","Slab","Accidental",NA,6,2,0,0,"Skimo",42.749043,0.653595
"82",349,"18","02","2012","La Mongie","Unknown","Slab","Accidental",NA,1,1,0,1,"Off-piste skiing",42.904789,0.178208
"83",251,"08","02","2012","Montcorbisson","3","Slab","Accidental",NA,2,2,0,1,"Skimo",42.71118,0.764544
"84",304,"06","12","2012","Piau Engaly","4","Slab","Accidental",NA,5,3,2,0,"Off-piste skiing",42.770149,0.146096
"85",359,"19","05","2013","Bretxa Pic d'Alba","Unknown","Unknown","Unknown",NA,3,1,0,0,"Skimo",42.655759,0.622804
"86",215,"28","04","2013","Cara nord del Cadí","2","Unknown","Unknown",NA,2,2,0,2,"Mountaineerin",42.284558,1.657214
"87",343,"07","04","2013","Moncayo","Unknown","Unknown","Unknown",NA,6,6,1,0,"Hiking",41.785899,-1.833247
"88",346,"25","03","2013","Formigal","Unknown","Slab","Accidental",NA,3,3,0,1," On-piste skiing",42.784851,-0.419372
"89",301,"15","03","2013","La Serrera","4","Slab","Accidental",NA,2,2,1,1,"Skimo",42.624564,1.60134
"90",308,"15","03","2013","Bagneres de Bigorre","4","Slab","Accidental",NA,1,1,0,1,"Off-piste skiing",42.931525,0.128904
"91",464,"15","03","2013","Pic de la Serrera","3","Slab","Accidental",3,2,2,1,1,"Skimo",42.6245493654683,1.60241801460731
"92",285,"09","03","2013","Dos hermanas","3","Unknown","Unknown",NA,3,1,1,0,"Mountaineerin",40.838336,-3.964539
"93",354,"05","03","2013","Saint Lary","Unknown","Unknown","Unknown",NA,10,6,3,0,"Hiking",42.819261,0.324764
"94",367,"02","03","2013","Cambradase","Unknown","Unknown","Unknown",NA,3,2,0,0,"Skimo",42.45563,2.127858
"95",323,"11","02","2013","Tanau","4","Unknown","Natural",NA,1,1,1,0,"Others",42.70286,0.939772
"96",222,"02","01","2013","Gourette","2","Slab","Unknown",NA,2,1,0,1,"Off-piste skiing",42.932324,-0.338182
"97",360,"01","01","2013","Garmo Negro","Unknown","Slab","Unknown",NA,7,3,2,0,"Hiking",42.770327,-0.26772
"98",350,"26","12","2013","Soldeu","Unknown","Unknown","Accidental",NA,3,1,0,1,"Off-piste skiing",42.561345,1.655942
"99",463,"25","12","2013","Soldeu","4","Slab","Accidental",NA,3,1,0,1,"Freeride",42.5597820201627,1.65688952743057
"100",243,"06","04","2014","Puigmal","3","Slab","Accidental",NA,10,0,0,0,"Skimo",42.376775,2.088035
"101",342,"17","02","2014","Pico Bóveda","Unknown","Slab","Accidental",NA,2,1,0,1,"Mountaineerin",43.047,-4.3884
"102",270,"30","01","2014","Xemeneies","3","Slab","Accidental",NA,1,1,0,0,"Skimo",42.433509,2.252473
"103",279,"26","01","2014","Puigmal","3","Slab","Accidental",NA,10,0,0,0,"Skimo",42.382072,2.118613
"104",299,"26","01","2014","Vall de Campcardós","3","Unknown","Unknown",NA,6,4,0,0,"Skimo",42.507833,1.777912
"105",326,"24","01","2014","Els Argulls, Baqueira Beret","4","Unknown","Unknown",NA,4,2,2,0,"Working",42.684397,0.965595
"106",298,"23","01","2014","Puigmal","3","Slab","Unknown",NA,3,2,1,0,"Skimo",42.382072,2.118613
"107",297,"21","01","2014","La Carbassa","3","Unknown","Unknown",NA,1,1,0,0,"Skimo",42.452742,1.727821
"108",309,"21","01","2014","Pico Gallinero","4","Unknown","Accidental",NA,3,1,1,-1,"Off-piste skiing",42.5437,0.551517
"109",249,"28","12","2014","Baqueira-Perdiu Blanca","3","Slab","Accidental",NA,1,1,0,0,"Off-piste skiing",42.6971,0.952346
"110",462,"17","12","2014","Arcalís","3","Unknown","Accidental",NA,1,1,1,0,"Off-piste skiing",42.6370527642445,1.47441071008856
"111",247,"25","03","2015","Coll d'Amitges","3","Slab","Accidental",NA,3,3,0,0,"Skimo",42.607585,0.989662
"112",231,"17","03","2015","Montardo","2","Slab","Accidental",NA,1,1,0,0,"Skimo",42.632623,0.87496
"113",317,"02","02","2015","Blanhiblar","4","Slab","Accidental",NA,2,2,1,0,"Freeride",42.722681,0.944691
"114",320,"30","01","2015","Pleta de Molières-Port de Vielha","4","Point Release","Accidental",NA,1,1,-1,0,"Skimo",42.634301,0.75251
"115",252,"25","01","2015","Blanhiblar","3","Slab","Accidental",NA,1,1,0,0,"Off-piste skiing",42.722681,0.944691
"116",232,"10","04","2016","Canal est del Bacivèr","2","Point Release","Natural",NA,2,2,0,0,"Skimo",42.712993,0.993592
"117",241,"05","04","2016","Pico Pacino","3","Slab","Unknown",NA,3,3,0,0,"Rackets",42.751428,-0.339013
"118",290,"27","03","2016","Pineta","3","Point Release","Natural",NA,2,2,0,1,"Hiking",42.685302,0.50436
"119",242,"21","03","2016","Peña Telera","3","Slab","Unknown",NA,2,2,2,0,"Mountaineerin",42.691266,-0.370856
